time_window,total_msgs,mod_req_count,mod_resp_count,estab_count,estab_resp_count,del_count,del_resp_count,heartbeat_count,other_count,mod_req_rate,session_churn_rate,mod_req_rate_lag1,mod_req_rate_delta,acceleration,failure_ratio,unique_sessions,ran_precursor_label,total_pkts,total_bytes,avg_pkt_size,voice_pkts,be_pkts,iot_pkts,gbr_pkts,avg_weight,weighted_criticality,gbr_ratio,voice_ratio,throughput_bps,regime
1777372580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,61364.0,739.3253012048193,0.0,0.0,0.0,0.0,0.5,41.5,0.0,0.0,49091.2,0
1777372590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,82800.0,828.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,66240.0,0
1777372600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,920.0,92.0,0.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,736.0,0
1777372610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,82800.0,828.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,66240.0,0
1777372620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,52256.0,725.7777777777778,0.0,0.0,0.0,0.0,0.5,36.0,0.0,0.0,41804.8,0
1777372630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,31464.0,828.0,0.0,0.0,0.0,0.0,0.5,19.0,0.0,0.0,25171.2,0
1777372640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,83720.0,761.0909090909091,0.0,0.0,0.0,0.0,0.5,55.0,0.0,0.0,66976.0,0
1777372650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16560.0,828.0,0.0,0.0,0.0,0.0,0.5,10.0,0.0,0.0,13248.0,0
1777372660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,67964.0,723.0212765957447,4.0,0.0,0.0,4.0,0.5212765957446809,49.0,0.0425531914893617,0.0425531914893617,54371.2,0
1777372670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,80316.0,828.0,0.0,0.0,0.0,0.0,0.5,48.5,0.0,0.0,64252.8,0
1777372680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3404.0,261.84615384615387,0.0,0.0,0.0,0.0,0.5,6.5,0.0,0.0,2723.2,0
1777372690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,83628.0,767.2293577981651,0.0,0.0,0.0,0.0,0.5,54.5,0.0,0.0,66902.4,0
1777372700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,53912.0,816.8484848484849,0.0,0.0,0.0,0.0,0.5,33.0,0.0,0.0,43129.6,0
1777372710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,76360.0,694.1818181818181,0.0,0.0,0.0,0.0,0.5,55.0,0.0,0.0,61088.0,0
1777372720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,165600.0,828.0,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,132480.0,0
1777372730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,21528.0,828.0,0.0,0.0,0.0,0.0,0.5,13.0,0.0,0.0,17222.4,0
1777372740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,144072.0,828.0,0.0,0.0,0.0,0.0,0.5,87.0,0.0,0.0,115257.6,0
1777372750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,149040.0,828.0,0.0,0.0,0.0,0.0,0.5,90.0,0.0,0.0,119232.0,0
1777372760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16560.0,828.0,0.0,0.0,0.0,0.0,0.5,10.0,0.0,0.0,13248.0,0
